Data;Cena;Akcyza;Oplata_paliwowa
28/09/2022;5 272,00;97;0
27/09/2022;5 228,00;97;0
24/09/2022;5 281,00;97;0
23/09/2022;5 339,00;97;0
22/09/2022;5 179,00;97;0
21/09/2022;5 173,00;97;0
17/09/2022;5 249,00;97;0
16/09/2022;5 323,00;97;0
15/09/2022;5 421,00;97;0
14/09/2022;5 488,00;97;0
13/09/2022;5 527,00;97;0
10/09/2022;5 577,00;97;0
09/09/2022;5 613,00;97;0
08/09/2022;5 655,00;97;0
07/09/2022;5 687,00;97;0
06/09/2022;5 857,00;97;0
03/09/2022;5 719,00;97;0
02/09/2022;5 800,00;97;0
01/09/2022;5 922,00;97;0
31/08/2022;5 985,00;97;0
27/08/2022;6 069,00;97;0
26/08/2022;6 069,00;97;0
25/08/2022;6 091,00;97;0
24/08/2022;5 909,00;97;0
23/08/2022;5 761,00;97;0
20/08/2022;5 690,00;97;0
19/08/2022;5 566,00;97;0
18/08/2022;5 423,00;97;0
17/08/2022;5 353,00;97;0
13/08/2022;5 368,00;97;0
12/08/2022;5 241,00;97;0
11/08/2022;5 205,00;97;0
10/08/2022;5 224,00;97;0
09/08/2022;5 243,00;97;0
06/08/2022;5 301,00;97;0
05/08/2022;5 406,00;97;0
04/08/2022;5 468,00;97;0
03/08/2022;5 553,00;97;0
02/08/2022;5 629,00;97;0
01/08/2022;5 729,00;97;0
30/07/2022;5 708,00;97;0
29/07/2022;5 674,00;97;0
28/07/2022;5 704,00;97;0
27/07/2022;5 463,00;97;0
26/07/2022;5 467,00;97;0
23/07/2022;5 533,00;97;0
22/07/2022;5 625,00;97;0
21/07/2022;5 704,00;97;0
20/07/2022;5 793,00;97;0
19/07/2022;5 841,00;97;0
16/07/2022;5 925,00;97;0
15/07/2022;5 846,00;97;0
14/07/2022;5 898,00;97;0
13/07/2022;5 852,00;97;0
12/07/2022;5 881,00;97;0
09/07/2022;5 769,00;97;0
08/07/2022;5 789,00;97;0
07/07/2022;5 798,00;97;0
06/07/2022;5 880,00;97;0
05/07/2022;5 959,00;97;0
04/07/2022;5 950,00;97;0
02/07/2022;5 950,00;97;0
01/07/2022;5 964,00;97;0
30/06/2022;6 064,00;97;0
29/06/2022;6 103,00;97;0
28/06/2022;6 167,00;97;0
27/06/2022;6 228,00;97;0
25/06/2022;6 228,00;97;0
24/06/2022;6 205,00;97;0
23/06/2022;6 182,00;97;0
22/06/2022;6 213,00;97;0
21/06/2022;6 232,00;97;0
18/06/2022;6 202,00;97;0
16/06/2022;6 246,00;97;0
15/06/2022;6 125,00;97;0
14/06/2022;5 975,00;97;0
11/06/2022;5 888,00;97;0
10/06/2022;5 840,00;97;0
09/06/2022;5 688,00;97;0
08/06/2022;5 729,00;97;0
07/06/2022;5 781,00;97;0
06/06/2022;5 583,00;97;0
02/06/2022;5 583,00;97;0
01/06/2022;5 432,00;97;0
31/05/2022;5 391,00;232;0
28/05/2022;5 360,00;232;0
27/05/2022;5 367,00;232;0
26/05/2022;5 182,00;232;0
25/05/2022;5 126,00;232;0
24/05/2022;5 152,00;232;0
21/05/2022;5 215,00;232;0
20/05/2022;5 280,00;232;0
19/05/2022;5 328,00;232;0
18/05/2022;5 388,00;232;0
17/05/2022;5 417,00;232;0
16/05/2022;5 442,00;232;0
14/05/2022;5 442,00;232;0
13/05/2022;5 362,00;232;0
12/05/2022;5 393,00;232;0
11/05/2022;5 426,00;232;0
10/05/2022;5 496,00;232;0
07/05/2022;5 574,00;232;0
06/05/2022;5 612,00;232;0
05/05/2022;5 630,00;232;0
01/05/2022;5 701,00;232;0
30/04/2022;5 701,00;232;0
29/04/2022;5 654,00;232;0
28/04/2022;5 565,00;232;0
27/04/2022;5 324,00;232;0
26/04/2022;5 205,00;232;0
23/04/2022;5 266,00;232;0
22/04/2022;5 241,00;232;0
21/04/2022;5 278,00;232;0
20/04/2022;5 228,00;232;0
19/04/2022;5 244,00;232;0
15/04/2022;5 244,00;232;0
14/04/2022;5 080,00;232;0
13/04/2022;5 000,00;232;0
12/04/2022;4 849,00;232;0
09/04/2022;4 913,00;232;0
08/04/2022;4 939,00;232;0
07/04/2022;5 007,00;232;0
06/04/2022;5 041,00;232;0
05/04/2022;5 107,00;232;0
02/04/2022;5 006,00;232;0
01/04/2022;5 117,00;232;0
31/03/2022;5 268,00;232;0
30/03/2022;5 392,00;232;0
29/03/2022;5 482,00;232;0
26/03/2022;5 571,00;232;0
25/03/2022;5 642,00;232;0
24/03/2022;5 558,00;232;0
23/03/2022;5 315,00;232;0
22/03/2022;5 256,00;232;0
19/03/2022;5 005,00;232;0
18/03/2022;4 924,00;232;0
17/03/2022;4 717,00;232;0
16/03/2022;4 936,00;232;0
15/03/2022;5 300,00;232;0
12/03/2022;5 539,00;232;0
11/03/2022;5 689,00;232;0
10/03/2022;5 975,00;232;0
09/03/2022;6 330,00;232;0
08/03/2022;5 913,00;232;0
05/03/2022;5 353,00;232;0
04/03/2022;5 085,00;232;0
03/03/2022;4 891,00;232;0
02/03/2022;4 501,00;232;0
01/03/2022;4 251,00;232;0
26/02/2022;4 147,00;232;0
25/02/2022;4 054,00;232;0
24/02/2022;3 870,00;232;0
23/02/2022;3 865,00;232;0
22/02/2022;3 786,00;232;0
19/02/2022;3 779,00;232;0
18/02/2022;3 789,00;232;0
17/02/2022;3 806,00;232;0
16/02/2022;3 805,00;232;0
15/02/2022;3 859,00;232;0
12/02/2022;3 769,00;232;0
11/02/2022;3 730,00;232;0
10/02/2022;3 737,00;232;0
09/02/2022;3 746,00;232;0
08/02/2022;3 782,00;232;0
05/02/2022;3 766,00;232;0
04/02/2022;3 721,00;232;0
03/02/2022;3 721,00;232;0
02/02/2022;3 736,00;232;0
01/02/2022;3 747,00;232;0
29/01/2022;3 758,00;232;0
28/01/2022;3 702,00;232;0
27/01/2022;3 690,00;232;0
26/01/2022;3 597,00;232;0
25/01/2022;3 571,00;232;0
22/01/2022;3 587,00;232;0
21/01/2022;3 590,00;232;0
20/01/2022;3 597,00;232;0
19/01/2022;3 561,00;232;0
18/01/2022;3 526,00;232;0
15/01/2022;3 507,00;232;0
14/01/2022;3 483,00;232;0
13/01/2022;3 497,00;232;0
12/01/2022;3 477,00;232;0
11/01/2022;3 432,00;232;0
10/01/2022;3 437,00;232;0
08/01/2022;3 420,00;232;0
06/01/2022;3 410,00;232;0
05/01/2022;3 374,00;232;0
01/01/2022;3 318,00;232;0
31/12/2021;3 345,00;232;0
30/12/2021;3 297,00;232;0
25/12/2021;3 260,00;232;0
24/12/2021;3 310,00;232;0
23/12/2021;3 263,00;232;0
22/12/2021;3 228,00;232;0
21/12/2021;3 223,00;232;0
20/12/2021;3 257,00;232;0
18/12/2021;3 257,00;232;0
17/12/2021;3 279,00;232;0
16/12/2021;3 243,00;232;0
15/12/2021;3 251,00;232;0
14/12/2021;3 257,00;232;0
11/12/2021;3 248,00;232;0
10/12/2021;3 254,00;232;0
09/12/2021;3 220,00;232;0
08/12/2021;3 143,00;232;0
07/12/2021;3 105,00;232;0
06/12/2021;3 093,00;232;0
04/12/2021;3 119,00;232;0
03/12/2021;3 086,00;232;0
02/12/2021;3 125,00;232;0
01/12/2021;3 129,00;232;0
30/11/2021;3 240,00;232;0
27/11/2021;3 355,00;232;0
26/11/2021;3 424,00;232;0
25/11/2021;3 437,00;232;0
24/11/2021;3 424,00;232;0
23/11/2021;3 379,00;232;0
20/11/2021;3 365,00;232;0
19/11/2021;3 391,00;232;0
18/11/2021;3 401,00;232;0
17/11/2021;3 420,00;232;0
16/11/2021;3 370,00;232;0
13/11/2021;3 385,00;232;0
11/11/2021;3 400,00;232;0
10/11/2021;3 402,00;232;0
09/11/2021;3 389,00;232;0
06/11/2021;3 385,00;232;0
05/11/2021;3 358,00;232;0
04/11/2021;3 364,00;232;0
03/11/2021;3 386,00;232;0
01/11/2021;3 411,00;232;0
30/10/2021;3 411,00;232;0
29/10/2021;3 422,00;232;0
28/10/2021;3 438,00;232;0
27/10/2021;3 458,00;232;0
26/10/2021;3 446,00;232;0
25/10/2021;3 414,00;232;0
23/10/2021;3 414,00;232;0
22/10/2021;3 414,00;232;0
21/10/2021;3 423,00;232;0
20/10/2021;3 423,00;232;0
19/10/2021;3 438,00;232;0
18/10/2021;3 448,00;232;0
16/10/2021;3 448,00;232;0
15/10/2021;3 397,00;232;0
14/10/2021;3 400,00;232;0
13/10/2021;3 403,00;232;0
12/10/2021;3 424,00;232;0
09/10/2021;3 384,00;232;0
08/10/2021;3 350,00;232;0
07/10/2021;3 372,00;232;0
06/10/2021;3 370,00;232;0
05/10/2021;3 291,00;232;0
04/10/2021;3 245,00;232;0
02/10/2021;3 245,00;232;0
01/10/2021;3 260,00;232;0
30/09/2021;3 211,00;232;0
29/09/2021;3 192,00;232;0
28/09/2021;3 189,00;232;0
25/09/2021;3 141,00;232;0
24/09/2021;3 116,00;232;0
23/09/2021;3 092,00;232;0
22/09/2021;3 040,00;232;0
21/09/2021;3 054,00;232;0
18/09/2021;3 039,00;232;0
17/09/2021;3 033,00;232;0
16/09/2021;3 017,00;232;0
15/09/2021;2 966,00;232;0
14/09/2021;2 962,00;232;0
11/09/2021;2 938,00;232;0
10/09/2021;2 919,00;232;0
09/09/2021;2 917,00;232;0
08/09/2021;2 919,00;232;0
07/09/2021;2 926,00;232;0
04/09/2021;2 935,00;232;0
03/09/2021;2 919,00;232;0
02/09/2021;2 913,00;232;0
01/09/2021;2 939,00;232;0
28/08/2021;2 943,00;232;0
27/08/2021;2 908,00;232;0
26/08/2021;2 906,00;232;0
25/08/2021;2 906,00;232;0
24/08/2021;2 852,00;232;0
21/08/2021;2 818,00;232;0
20/08/2021;2 837,00;232;0
19/08/2021;2 860,00;232;0
18/08/2021;2 869,00;232;0
17/08/2021;2 874,00;232;0
14/08/2021;2 889,00;232;0
13/08/2021;2 894,00;232;0
12/08/2021;2 880,00;232;0
11/08/2021;2 879,00;232;0
10/08/2021;2 853,00;232;0
07/08/2021;2 867,00;232;0
06/08/2021;2 885,00;232;0
05/08/2021;2 900,00;232;0
04/08/2021;2 918,00;232;0
03/08/2021;2 932,00;232;0
31/07/2021;2 946,00;232;0
30/07/2021;2 944,00;232;0
29/07/2021;2 936,00;232;0
28/07/2021;2 942,00;232;0
27/07/2021;2 933,00;232;0
24/07/2021;2 928,00;232;0
23/07/2021;2 902,00;232;0
22/07/2021;2 890,00;232;0
21/07/2021;2 895,00;232;0
20/07/2021;2 922,00;232;0
17/07/2021;2 949,00;232;0
16/07/2021;2 956,00;232;0
15/07/2021;2 988,00;232;0
14/07/2021;2 959,00;232;0
13/07/2021;2 938,00;232;0
10/07/2021;2 948,00;232;0
09/07/2021;2 901,00;232;0
08/07/2021;2 905,00;232;0
07/07/2021;2 919,00;232;0
06/07/2021;2 936,00;232;0
03/07/2021;2 938,00;232;0
02/07/2021;2 914,00;232;0
01/07/2021;2 883,00;232;0
30/06/2021;2 888,00;232;0
29/06/2021;2 892,00;232;0
26/06/2021;2 897,00;232;0
25/06/2021;2 899,00;232;0
24/06/2021;2 901,00;232;0
23/06/2021;2 898,00;232;0
22/06/2021;2 888,00;232;0
21/06/2021;2 875,00;232;0
19/06/2021;2 875,00;232;0
18/06/2021;2 858,00;232;0
17/06/2021;2 860,00;232;0
16/06/2021;2 836,00;232;0
15/06/2021;2 820,00;232;0
12/06/2021;2 778,00;232;0
11/06/2021;2 780,00;232;0
10/06/2021;2 753,00;232;0
09/06/2021;2 753,00;232;0
08/06/2021;2 755,00;232;0
06/06/2021;2 737,00;232;0
05/06/2021;2 766,00;232;0
03/06/2021;2 738,00;232;0
02/06/2021;2 715,00;232;0
29/05/2021;2 702,00;232;0
28/05/2021;2 701,00;232;0
27/05/2021;2 684,00;232;0
26/05/2021;2 673,00;232;0
25/05/2021;2 676,00;232;0
22/05/2021;2 681,00;232;0
21/05/2021;2 695,00;232;0
20/05/2021;2 704,00;232;0
19/05/2021;2 725,00;232;0
18/05/2021;2 725,00;232;0
15/05/2021;2 723,00;232;0
14/05/2021;2 729,00;232;0
13/05/2021;2 753,00;232;0
12/05/2021;2 719,00;232;0
11/05/2021;2 722,00;232;0
08/05/2021;2 742,00;232;0
07/05/2021;2 727,00;232;0
06/05/2021;2 720,00;232;0
05/05/2021;2 696,00;232;0
04/05/2021;2 672,00;232;0
01/05/2021;2 689,00;232;0
30/04/2021;2 690,00;232;0
29/04/2021;2 650,00;232;0
28/04/2021;2 632,00;232;0
27/04/2021;2 631,00;232;0
24/04/2021;2 629,00;232;0
23/04/2021;2 626,00;232;0
22/04/2021;2 623,00;232;0
21/04/2021;2 644,00;232;0
20/04/2021;2 659,00;232;0
17/04/2021;2 662,00;232;0
16/04/2021;2 648,00;232;0
15/04/2021;2 629,00;232;0
14/04/2021;2 610,00;232;0
13/04/2021;2 604,00;232;0
10/04/2021;2 593,00;232;0
09/04/2021;2 602,00;232;0
08/04/2021;2 619,00;232;0
07/04/2021;2 650,00;232;0
02/04/2021;2 665,00;232;0
01/04/2021;2 682,00;232;0
31/03/2021;2 680,00;232;0
30/03/2021;2 656,00;232;0
27/03/2021;2 646,00;232;0
26/03/2021;2 630,00;232;0
25/03/2021;2 645,00;232;0
24/03/2021;2 632,00;232;0
23/03/2021;2 655,00;232;0
20/03/2021;2 671,00;232;0
19/03/2021;2 693,00;232;0
18/03/2021;2 731,00;232;0
17/03/2021;2 733,00;232;0
16/03/2021;2 714,00;232;0
13/03/2021;2 745,00;232;0
12/03/2021;2 729,00;232;0
11/03/2021;2 727,00;232;0
10/03/2021;2 737,00;232;0
09/03/2021;2 756,00;232;0
06/03/2021;2 747,00;232;0
05/03/2021;2 673,00;232;0
04/03/2021;2 617,00;232;0
03/03/2021;2 626,00;232;0
02/03/2021;2 631,00;232;0
27/02/2021;2 633,00;232;0
26/02/2021;2 638,00;232;0
25/02/2021;2 642,00;232;0
24/02/2021;2 614,00;232;0
23/02/2021;2 597,00;232;0
20/02/2021;2 589,00;232;0
19/02/2021;2 599,00;232;0
18/02/2021;2 585,00;232;0
17/02/2021;2 556,00;232;0
16/02/2021;2 559,00;232;0
13/02/2021;2 524,00;232;0
12/02/2021;2 521,00;232;0
11/02/2021;2 509,00;232;0
10/02/2021;2 500,00;232;0
09/02/2021;2 502,00;232;0
06/02/2021;2 501,00;232;0
05/02/2021;2 464,00;232;0
04/02/2021;2 463,00;232;0
03/02/2021;2 440,00;232;0
02/02/2021;2 393,00;232;0
30/01/2021;2 395,00;232;0
29/01/2021;2 401,00;232;0
28/01/2021;2 405,00;232;0
27/01/2021;2 391,00;232;0
26/01/2021;2 391,00;232;0
25/01/2021;2 397,00;232;0
23/01/2021;2 397,00;232;0
22/01/2021;2 404,00;232;0
21/01/2021;2 410,00;232;0
20/01/2021;2 409,00;232;0
19/01/2021;2 412,00;232;0
16/01/2021;2 401,00;232;0
15/01/2021;2 410,00;232;0
14/01/2021;2 404,00;232;0
13/01/2021;2 404,00;232;0
12/01/2021;2 374,00;232;0
09/01/2021;2 346,00;232;0
08/01/2021;2 312,00;232;0
06/01/2021;2 313,00;232;0
05/01/2021;2 289,00;232;0
01/01/2021;2 311,00;232;0
31/12/2020;2 285,00;232;0
30/12/2020;2 278,00;232;0
